2026-05-06 15:21:44.637 WARN  [restartedMain] o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-06 15:21:47.506 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Started HrmsApplication in 38.352 seconds (process running for 40.392)
2026-05-06 15:22:32.122 WARN  [http-nio-8080-exec-1] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses/stats
2026-05-06 15:22:32.122 WARN  [http-nio-8080-exec-2] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses
2026-05-06 15:22:32.166 WARN  [http-nio-8080-exec-2] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses.]
2026-05-06 15:22:32.170 WARN  [http-nio-8080-exec-1] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses/stats.]
2026-05-06 15:22:32.315 WARN  [http-nio-8080-exec-2] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses
2026-05-06 15:22:32.317 WARN  [http-nio-8080-exec-4] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses/stats
2026-05-06 15:22:32.319 WARN  [http-nio-8080-exec-2] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses.]
2026-05-06 15:22:32.337 WARN  [http-nio-8080-exec-4] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses/stats.]
2026-05-06 15:41:56.031 WARN  [http-nio-8080-exec-8] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses
2026-05-06 15:41:56.039 WARN  [http-nio-8080-exec-3] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses/stats
2026-05-06 15:41:56.114 WARN  [http-nio-8080-exec-3] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses/stats.]
2026-05-06 15:41:56.108 WARN  [http-nio-8080-exec-8] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses.]
2026-05-06 15:41:56.390 WARN  [http-nio-8080-exec-10] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses
2026-05-06 15:41:56.397 WARN  [http-nio-8080-exec-1] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/intern-courses/stats
2026-05-06 15:41:56.417 WARN  [http-nio-8080-exec-10] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses.]
2026-05-06 15:41:56.441 WARN  [http-nio-8080-exec-1] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/intern-courses/stats.]
2026-05-06 16:34:23.056 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Starting HrmsApplication using Java 21.0.7 with PID 16740 (C:\Users\Yash\Desktop\gm_hrms_backend_railway-main\target\classes started by Yash in C:\Users\Yash\Desktop\gm_hrms_backend_railway-main)
2026-05-06 16:34:23.080 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - The following 1 profile is active: "dev"
